------------------------------------------------------------
Client connecting to fdff::6, UDP port 5001
Sending 1450 byte datagrams, IPG target: 256563.38 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  3] local fdf0:0:0:a::2 port 60687 connected with fdff::6 port 5001
[ ID] Interval       Transfer     Bandwidth
[  3]  0.0- 1.0 sec  7250 Bytes  58000 bits/sec
[  3]  1.0- 2.0 sec  5800 Bytes  46400 bits/sec
[  3]  2.0- 3.0 sec  5800 Bytes  46400 bits/sec
[  3]  3.0- 4.0 sec  5800 Bytes  46400 bits/sec
[  3]  4.0- 5.0 sec  5800 Bytes  46400 bits/sec
[  3]  5.0- 6.0 sec  5800 Bytes  46400 bits/sec
[  3]  6.0- 7.0 sec  5800 Bytes  46400 bits/sec
[  3]  7.0- 8.0 sec  5800 Bytes  46400 bits/sec
[  3]  8.0- 9.0 sec  5800 Bytes  46400 bits/sec
[  3]  9.0-10.0 sec  4350 Bytes  34800 bits/sec
[  3]  0.0-10.3 sec  58000 Bytes  45213 bits/sec
[  3] Sent 40 datagrams
